# Existing localized documentation files missing for English source docs.
# Keep this file sorted. Remove entries as localized coverage improves.
# Format: locale|relative/doc-slug
de-DE|template-design-collaboration-and-full-apps
de-DE|template-design-developers
de-DE|template-design-quality-and-components
de-DE|template-dispatch-developers
de-DE|template-dispatch-messaging-routing
de-DE|template-dispatch-operations
de-DE|template-dispatch-vault-integrations
de-DE|template-forms-developers
de-DE|template-mail-agent
de-DE|template-mail-developers
de-DE|template-mail-drafts-and-queue
de-DE|template-mail-inbox
de-DE|template-plan-automations
de-DE|template-plan-developers
de-DE|template-plan-local-and-desktop
de-DE|template-plan-review-workflow
de-DE|template-slides-agent
de-DE|template-slides-design-and-media
de-DE|template-slides-developers
de-DE|template-slides-editing
de-DE|toolkit-agent-ux
de-DE|toolkit-collaboration
de-DE|toolkit-command-navigation
de-DE|toolkit-comments-review
de-DE|toolkit-history
de-DE|toolkit-observability
de-DE|toolkit-org-team
de-DE|toolkit-resources
de-DE|toolkit-settings
de-DE|toolkit-setup-connections
de-DE|toolkit-sharing
de-DE|toolkit-ui
es-ES|agent-native-config
es-ES|automation-connectors
es-ES|docs-components
es-ES|durable-background-runs
es-ES|environment-variables
es-ES|external-agents-catalog
es-ES|generative-ui
es-ES|http-api
es-ES|integrations
es-ES|messaging-internals
es-ES|messaging-recipes
es-ES|organizations-teams-permissions
es-ES|template-analytics-connectors
es-ES|template-analytics-dashboards
es-ES|template-analytics-developers
es-ES|template-analytics-monitoring-and-sessions
es-ES|template-assets-developers
es-ES|template-assets-generation
es-ES|template-assets-integrations
es-ES|template-assets-presets
es-ES|template-brain-agent
es-ES|template-brain-developers
es-ES|template-brain-knowledge
es-ES|template-brain-sources
es-ES|template-chat-developers
es-ES|template-clips-ai-and-editing
es-ES|template-clips-capture-everywhere
es-ES|template-clips-developers
es-ES|template-clips-sharing-and-teams
es-ES|template-content-databases
es-ES|template-content-developers
es-ES|template-content-editing
es-ES|template-content-sync
es-ES|template-design-brand-and-figma
es-ES|template-design-collaboration-and-full-apps
es-ES|template-design-developers
es-ES|template-design-quality-and-components
es-ES|template-dispatch-developers
es-ES|template-dispatch-messaging-routing
es-ES|template-dispatch-operations
es-ES|template-dispatch-vault-integrations
es-ES|template-forms-developers
es-ES|template-mail-agent
es-ES|template-mail-developers
es-ES|template-mail-drafts-and-queue
es-ES|template-mail-inbox
es-ES|template-plan-automations
es-ES|template-plan-developers
es-ES|template-plan-local-and-desktop
es-ES|template-plan-review-workflow
es-ES|template-slides-agent
es-ES|template-slides-design-and-media
es-ES|template-slides-developers
es-ES|template-slides-editing
es-ES|toolkit-agent-ux
es-ES|toolkit-collaboration
es-ES|toolkit-command-navigation
es-ES|toolkit-comments-review
es-ES|toolkit-history
es-ES|toolkit-observability
es-ES|toolkit-org-team
es-ES|toolkit-resources
es-ES|toolkit-settings
es-ES|toolkit-setup-connections
es-ES|toolkit-sharing
es-ES|toolkit-ui
fr-FR|agent-native-config
fr-FR|automation-connectors
fr-FR|docs-components
fr-FR|durable-background-runs
fr-FR|environment-variables
fr-FR|external-agents-catalog
fr-FR|generative-ui
fr-FR|http-api
fr-FR|integrations
fr-FR|messaging-internals
fr-FR|messaging-recipes
fr-FR|organizations-teams-permissions
fr-FR|template-analytics-connectors
fr-FR|template-analytics-dashboards
fr-FR|template-analytics-developers
fr-FR|template-analytics-monitoring-and-sessions
fr-FR|template-assets-developers
fr-FR|template-assets-generation
fr-FR|template-assets-integrations
fr-FR|template-assets-presets
fr-FR|template-brain-agent
fr-FR|template-brain-developers
fr-FR|template-brain-knowledge
fr-FR|template-brain-sources
fr-FR|template-chat-developers
fr-FR|template-clips-ai-and-editing
fr-FR|template-clips-capture-everywhere
fr-FR|template-clips-developers
fr-FR|template-clips-sharing-and-teams
fr-FR|template-content-databases
fr-FR|template-content-developers
fr-FR|template-content-editing
fr-FR|template-content-sync
fr-FR|template-design-brand-and-figma
fr-FR|template-design-collaboration-and-full-apps
fr-FR|template-design-developers
fr-FR|template-design-quality-and-components
fr-FR|template-dispatch-developers
fr-FR|template-dispatch-messaging-routing
fr-FR|template-dispatch-operations
fr-FR|template-dispatch-vault-integrations
fr-FR|template-forms-developers
fr-FR|template-mail-agent
fr-FR|template-mail-developers
fr-FR|template-mail-drafts-and-queue
fr-FR|template-mail-inbox
fr-FR|template-plan-automations
fr-FR|template-plan-developers
fr-FR|template-plan-local-and-desktop
fr-FR|template-plan-review-workflow
fr-FR|template-slides-agent
fr-FR|template-slides-design-and-media
fr-FR|template-slides-developers
fr-FR|template-slides-editing
fr-FR|toolkit-agent-ux
fr-FR|toolkit-collaboration
fr-FR|toolkit-command-navigation
fr-FR|toolkit-comments-review
fr-FR|toolkit-history
fr-FR|toolkit-observability
fr-FR|toolkit-org-team
fr-FR|toolkit-resources
fr-FR|toolkit-settings
fr-FR|toolkit-setup-connections
fr-FR|toolkit-sharing
fr-FR|toolkit-ui
hi-IN|agent-native-config
hi-IN|automation-connectors
hi-IN|docs-components
hi-IN|durable-background-runs
hi-IN|environment-variables
hi-IN|external-agents-catalog
hi-IN|generative-ui
hi-IN|http-api
hi-IN|integrations
hi-IN|messaging-internals
hi-IN|messaging-recipes
hi-IN|organizations-teams-permissions
hi-IN|template-analytics-connectors
hi-IN|template-analytics-dashboards
hi-IN|template-analytics-developers
hi-IN|template-analytics-monitoring-and-sessions
hi-IN|template-assets-developers
hi-IN|template-assets-generation
hi-IN|template-assets-integrations
hi-IN|template-assets-presets
hi-IN|template-brain-agent
hi-IN|template-brain-developers
hi-IN|template-brain-knowledge
hi-IN|template-brain-sources
hi-IN|template-chat-developers
hi-IN|template-clips-ai-and-editing
hi-IN|template-clips-capture-everywhere
hi-IN|template-clips-developers
hi-IN|template-clips-sharing-and-teams
hi-IN|template-content-databases
hi-IN|template-content-developers
hi-IN|template-content-editing
hi-IN|template-content-sync
hi-IN|template-design-brand-and-figma
hi-IN|template-design-collaboration-and-full-apps
hi-IN|template-design-developers
hi-IN|template-design-quality-and-components
hi-IN|template-dispatch-developers
hi-IN|template-dispatch-messaging-routing
hi-IN|template-dispatch-operations
hi-IN|template-dispatch-vault-integrations
hi-IN|template-forms-developers
hi-IN|template-mail-agent
hi-IN|template-mail-developers
hi-IN|template-mail-drafts-and-queue
hi-IN|template-mail-inbox
hi-IN|template-plan-automations
hi-IN|template-plan-developers
hi-IN|template-plan-local-and-desktop
hi-IN|template-plan-review-workflow
hi-IN|template-slides-agent
hi-IN|template-slides-design-and-media
hi-IN|template-slides-developers
hi-IN|template-slides-editing
hi-IN|toolkit-agent-ux
hi-IN|toolkit-collaboration
hi-IN|toolkit-command-navigation
hi-IN|toolkit-comments-review
hi-IN|toolkit-history
hi-IN|toolkit-observability
hi-IN|toolkit-org-team
hi-IN|toolkit-resources
hi-IN|toolkit-settings
hi-IN|toolkit-setup-connections
hi-IN|toolkit-sharing
hi-IN|toolkit-ui
ja-JP|agent-native-config
ja-JP|automation-connectors
ja-JP|docs-components
ja-JP|durable-background-runs
ja-JP|environment-variables
ja-JP|external-agents-catalog
ja-JP|generative-ui
ja-JP|http-api
ja-JP|integrations
ja-JP|messaging-internals
ja-JP|messaging-recipes
ja-JP|organizations-teams-permissions
ja-JP|template-analytics-connectors
ja-JP|template-analytics-dashboards
ja-JP|template-analytics-developers
ja-JP|template-analytics-monitoring-and-sessions
ja-JP|template-assets-developers
ja-JP|template-assets-generation
ja-JP|template-assets-integrations
ja-JP|template-assets-presets
ja-JP|template-brain-agent
ja-JP|template-brain-developers
ja-JP|template-brain-knowledge
ja-JP|template-brain-sources
ja-JP|template-chat-developers
ja-JP|template-clips-ai-and-editing
ja-JP|template-clips-capture-everywhere
ja-JP|template-clips-developers
ja-JP|template-clips-sharing-and-teams
ja-JP|template-content-databases
ja-JP|template-content-developers
ja-JP|template-content-editing
ja-JP|template-content-sync
ja-JP|template-design-brand-and-figma
ja-JP|template-design-collaboration-and-full-apps
ja-JP|template-design-developers
ja-JP|template-design-quality-and-components
ja-JP|template-dispatch-developers
ja-JP|template-dispatch-messaging-routing
ja-JP|template-dispatch-operations
ja-JP|template-dispatch-vault-integrations
ja-JP|template-forms-developers
ja-JP|template-mail-agent
ja-JP|template-mail-developers
ja-JP|template-mail-drafts-and-queue
ja-JP|template-mail-inbox
ja-JP|template-plan-automations
ja-JP|template-plan-developers
ja-JP|template-plan-local-and-desktop
ja-JP|template-plan-review-workflow
ja-JP|template-slides-agent
ja-JP|template-slides-design-and-media
ja-JP|template-slides-developers
ja-JP|template-slides-editing
ja-JP|toolkit-agent-ux
ja-JP|toolkit-collaboration
ja-JP|toolkit-command-navigation
ja-JP|toolkit-comments-review
ja-JP|toolkit-history
ja-JP|toolkit-observability
ja-JP|toolkit-org-team
ja-JP|toolkit-resources
ja-JP|toolkit-settings
ja-JP|toolkit-setup-connections
ja-JP|toolkit-sharing
ja-JP|toolkit-ui
ko-KR|agent-native-config
ko-KR|automation-connectors
ko-KR|docs-components
ko-KR|durable-background-runs
ko-KR|environment-variables
ko-KR|external-agents-catalog
ko-KR|generative-ui
ko-KR|http-api
ko-KR|integrations
ko-KR|messaging-internals
ko-KR|messaging-recipes
ko-KR|organizations-teams-permissions
ko-KR|template-analytics-connectors
ko-KR|template-analytics-dashboards
ko-KR|template-analytics-developers
ko-KR|template-analytics-monitoring-and-sessions
ko-KR|template-assets-developers
ko-KR|template-assets-generation
ko-KR|template-assets-integrations
ko-KR|template-assets-presets
ko-KR|template-brain-agent
ko-KR|template-brain-developers
ko-KR|template-brain-knowledge
ko-KR|template-brain-sources
ko-KR|template-chat-developers
ko-KR|template-clips-ai-and-editing
ko-KR|template-clips-capture-everywhere
ko-KR|template-clips-developers
ko-KR|template-clips-sharing-and-teams
ko-KR|template-content-databases
ko-KR|template-content-developers
ko-KR|template-content-editing
ko-KR|template-content-sync
ko-KR|template-design-brand-and-figma
ko-KR|template-design-collaboration-and-full-apps
ko-KR|template-design-developers
ko-KR|template-design-quality-and-components
ko-KR|template-dispatch-developers
ko-KR|template-dispatch-messaging-routing
ko-KR|template-dispatch-operations
ko-KR|template-dispatch-vault-integrations
ko-KR|template-forms-developers
ko-KR|template-mail-agent
ko-KR|template-mail-developers
ko-KR|template-mail-drafts-and-queue
ko-KR|template-mail-inbox
ko-KR|template-plan-automations
ko-KR|template-plan-developers
ko-KR|template-plan-local-and-desktop
ko-KR|template-plan-review-workflow
ko-KR|template-slides-agent
ko-KR|template-slides-design-and-media
ko-KR|template-slides-developers
ko-KR|template-slides-editing
ko-KR|toolkit-agent-ux
ko-KR|toolkit-collaboration
ko-KR|toolkit-command-navigation
ko-KR|toolkit-comments-review
ko-KR|toolkit-history
ko-KR|toolkit-observability
ko-KR|toolkit-org-team
ko-KR|toolkit-resources
ko-KR|toolkit-settings
ko-KR|toolkit-setup-connections
ko-KR|toolkit-sharing
ko-KR|toolkit-ui
pt-BR|agent-native-config
pt-BR|automation-connectors
pt-BR|docs-components
pt-BR|durable-background-runs
pt-BR|environment-variables
pt-BR|external-agents-catalog
pt-BR|generative-ui
pt-BR|http-api
pt-BR|integrations
pt-BR|messaging-internals
pt-BR|messaging-recipes
pt-BR|organizations-teams-permissions
pt-BR|template-analytics-connectors
pt-BR|template-analytics-dashboards
pt-BR|template-analytics-developers
pt-BR|template-analytics-monitoring-and-sessions
pt-BR|template-assets-developers
pt-BR|template-assets-generation
pt-BR|template-assets-integrations
pt-BR|template-assets-presets
pt-BR|template-brain-agent
pt-BR|template-brain-developers
pt-BR|template-brain-knowledge
pt-BR|template-brain-sources
pt-BR|template-chat-developers
pt-BR|template-clips-ai-and-editing
pt-BR|template-clips-capture-everywhere
pt-BR|template-clips-developers
pt-BR|template-clips-sharing-and-teams
pt-BR|template-content-databases
pt-BR|template-content-developers
pt-BR|template-content-editing
pt-BR|template-content-sync
pt-BR|template-design-brand-and-figma
pt-BR|template-design-collaboration-and-full-apps
pt-BR|template-design-developers
pt-BR|template-design-quality-and-components
pt-BR|template-dispatch-developers
pt-BR|template-dispatch-messaging-routing
pt-BR|template-dispatch-operations
pt-BR|template-dispatch-vault-integrations
pt-BR|template-forms-developers
pt-BR|template-mail-agent
pt-BR|template-mail-developers
pt-BR|template-mail-drafts-and-queue
pt-BR|template-mail-inbox
pt-BR|template-plan-automations
pt-BR|template-plan-developers
pt-BR|template-plan-local-and-desktop
pt-BR|template-plan-review-workflow
pt-BR|template-slides-agent
pt-BR|template-slides-design-and-media
pt-BR|template-slides-developers
pt-BR|template-slides-editing
pt-BR|toolkit-agent-ux
pt-BR|toolkit-collaboration
pt-BR|toolkit-command-navigation
pt-BR|toolkit-comments-review
pt-BR|toolkit-history
pt-BR|toolkit-observability
pt-BR|toolkit-org-team
pt-BR|toolkit-resources
pt-BR|toolkit-settings
pt-BR|toolkit-setup-connections
pt-BR|toolkit-sharing
pt-BR|toolkit-ui
zh-CN|agent-native-config
zh-CN|automation-connectors
zh-CN|docs-components
zh-CN|durable-background-runs
zh-CN|environment-variables
zh-CN|external-agents-catalog
zh-CN|generative-ui
zh-CN|http-api
zh-CN|integrations
zh-CN|messaging-internals
zh-CN|messaging-recipes
zh-CN|organizations-teams-permissions
zh-CN|template-analytics-connectors
zh-CN|template-analytics-dashboards
zh-CN|template-analytics-developers
zh-CN|template-analytics-monitoring-and-sessions
zh-CN|template-assets-developers
zh-CN|template-assets-generation
zh-CN|template-assets-integrations
zh-CN|template-assets-presets
zh-CN|template-brain-agent
zh-CN|template-brain-developers
zh-CN|template-brain-knowledge
zh-CN|template-brain-sources
zh-CN|template-chat-developers
zh-CN|template-clips-ai-and-editing
zh-CN|template-clips-capture-everywhere
zh-CN|template-clips-developers
zh-CN|template-clips-sharing-and-teams
zh-CN|template-content-databases
zh-CN|template-content-developers
zh-CN|template-content-editing
zh-CN|template-content-sync
zh-CN|template-design-brand-and-figma
zh-CN|template-design-collaboration-and-full-apps
zh-CN|template-design-developers
zh-CN|template-design-quality-and-components
zh-CN|template-dispatch-developers
zh-CN|template-dispatch-messaging-routing
zh-CN|template-dispatch-operations
zh-CN|template-dispatch-vault-integrations
zh-CN|template-forms-developers
zh-CN|template-mail-agent
zh-CN|template-mail-developers
zh-CN|template-mail-drafts-and-queue
zh-CN|template-mail-inbox
zh-CN|template-plan-automations
zh-CN|template-plan-developers
zh-CN|template-plan-local-and-desktop
zh-CN|template-plan-review-workflow
zh-CN|template-slides-agent
zh-CN|template-slides-design-and-media
zh-CN|template-slides-developers
zh-CN|template-slides-editing
zh-CN|toolkit-agent-ux
zh-CN|toolkit-collaboration
zh-CN|toolkit-command-navigation
zh-CN|toolkit-comments-review
zh-CN|toolkit-history
zh-CN|toolkit-observability
zh-CN|toolkit-org-team
zh-CN|toolkit-resources
zh-CN|toolkit-settings
zh-CN|toolkit-setup-connections
zh-CN|toolkit-sharing
zh-CN|toolkit-ui
zh-TW|agent-native-config
zh-TW|automation-connectors
zh-TW|docs-components
zh-TW|environment-variables
zh-TW|external-agents-catalog
zh-TW|generative-ui
zh-TW|http-api
zh-TW|integrations
zh-TW|messaging-internals
zh-TW|messaging-recipes
zh-TW|organizations-teams-permissions
zh-TW|template-analytics-connectors
zh-TW|template-analytics-dashboards
zh-TW|template-analytics-developers
zh-TW|template-analytics-monitoring-and-sessions
zh-TW|template-assets-developers
zh-TW|template-assets-generation
zh-TW|template-assets-integrations
zh-TW|template-assets-presets
zh-TW|template-brain-agent
zh-TW|template-brain-developers
zh-TW|template-brain-knowledge
zh-TW|template-brain-sources
zh-TW|template-chat-developers
zh-TW|template-clips-ai-and-editing
zh-TW|template-clips-capture-everywhere
zh-TW|template-clips-developers
zh-TW|template-clips-sharing-and-teams
zh-TW|template-content-databases
zh-TW|template-content-developers
zh-TW|template-content-editing
zh-TW|template-content-sync
zh-TW|template-design-brand-and-figma
zh-TW|template-design-collaboration-and-full-apps
zh-TW|template-design-developers
zh-TW|template-design-quality-and-components
zh-TW|template-dispatch-developers
zh-TW|template-dispatch-messaging-routing
zh-TW|template-dispatch-operations
zh-TW|template-dispatch-vault-integrations
zh-TW|template-forms-developers
zh-TW|template-mail-agent
zh-TW|template-mail-developers
zh-TW|template-mail-drafts-and-queue
zh-TW|template-mail-inbox
zh-TW|template-plan-automations
zh-TW|template-plan-developers
zh-TW|template-plan-local-and-desktop
zh-TW|template-plan-review-workflow
zh-TW|template-slides-agent
zh-TW|template-slides-design-and-media
zh-TW|template-slides-developers
zh-TW|template-slides-editing
zh-TW|toolkit-agent-ux
zh-TW|toolkit-collaboration
zh-TW|toolkit-command-navigation
zh-TW|toolkit-comments-review
zh-TW|toolkit-history
zh-TW|toolkit-observability
zh-TW|toolkit-org-team
zh-TW|toolkit-resources
zh-TW|toolkit-settings
zh-TW|toolkit-setup-connections
zh-TW|toolkit-sharing
zh-TW|toolkit-ui
